Timestamp,Email Address,Animal,# of people interacting,Animal Position,Guest Interaction,Guest Demographics,Interaction Length,Assumed Emotion,Additional notes
6/4/2025 17:39:12,,bear 3,3,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:15,Neutral,
6/4/2025 17:41:39,,bear 3,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Family w/ kids,01:21,Neutral,
6/4/2025 17:43:08,,bear 3,2,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Couple,00:34,Neutral,
6/4/2025 17:44:24,,bear 3,5+,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:21,Neutral,
6/4/2025 17:45:55,,bear 3,2,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:08,Neutral,
6/4/2025 17:51:34,,bear 3,2,"Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/o kids,00:18,Neutral,
6/4/2025 17:55:58,,bear 3,5+,"Standing on four legs (reptile, monkey, bear), Sitting on tree (monkey or bear), Climbing on trees","Observing animal behavior, Pointing at animal, Taking pictures of animal, Mimicking animal, Reading signs",Family w/ kids,03:56,Neutral,
6/4/2025 17:58:18,,bear 3,2,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Crouching and looking at animals ",Couple,01:10,Neutral,
6/4/2025 17:59:30,,bear 3,2,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Pointing at animal",Couple,00:41,Neutral,
6/4/2025 18:00:49,,bear 3,2,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear), Standing on two legs (monkey or bear)","Observing animal behavior, Pointing at animal",Couple,00:55,Neutral,
6/4/2025 18:03:41,,bear 3,5+,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Pointing at animal",Family w/ kids,02:01,Curiosity,Guy says bae don't go anywhere the bus is coming 
6/4/2025 18:10:04,,bear 3,2,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear), Sitting not on tree (monkey or bear), Sitting on tree (monkey or bear), Standing on two legs (monkey or bear), Climbing ","Observing animal behavior, Pointing at animal",Couple,05:43,Neutral,
6/4/2025 18:18:38,,monkey 3,4,Sitting on tree (monkey or bear),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Family w/ kids,00:59,Neutral,
6/4/2025 18:20:14,,monkey 3,1,Sitting on tree (monkey or bear),Observing animal behavior,Single,00:07,Neutral,
6/4/2025 18:22:08,,monkey 3,2,Sitting on tree (monkey or bear),"Observing animal behavior, Pointing at animal",Family w/ kids,00:26,Excitment,
6/4/2025 18:26:32,,monkey 3,2,Sitting on tree (monkey or bear),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Friends,01:02,Neutral,
6/4/2025 18:31:10,,monkey 3,5+,Sitting on tree (monkey or bear),"Observing animal behavior, Pointing at animal",Family w/o kids,01:00,Excitment,Pause because the saw a bunny outside 
6/4/2025 18:34:04,,monkey 3,3,Sitting on tree (monkey or bear),"Observing animal behavior, Pointing at animal, Reading signs",Family w/o kids,00:50,Neutral,
